"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Learning based COVID-19 Cough Classification Models - A Comparative Analysis","J. Vrindavanam; R. Srinath; H. H. Shankar; G. Nagesh","Dept. of ECE, Nitte Meenakshi Institute of Technology, Bengaluru, India; Graylinx Pvt Ltd, Bengaluru, India; Dept. of ECE, Nitte Meenakshi Institute of Technology, Bengaluru, India; Dept. of ECE, Nitte Meenakshi Institute of Technology, Bengaluru, India","2021 5th International Conference on Computing Methodologies and Communication (ICCMC)","6 May 2021","2021","","","420","426","COVID-19 continues to be a global pandemic and many a technological intervention are already in place for identification of COVID-19 patients. The paper focuses on the contactless detection of COVID-19 patients by analyzing their respective cough audio samples. The paper demonstrates three machine learning classification models and determines the better classifier among these three models. The model has made use of 15 dominant features. The paper has employed a method of selecting features based on ranking different scores derived from the feature selecting algorithms. The initial results will be forming part of a larger project of developing suitable interfaces, as such devices can reduce the stress on frontline workers and provide an efficient way to manage the resources and time of healthcare professionals. The proposed method has been tested on cough audios both COVID-19 positive and healthy individuals, and the results are promising.","","978-1-6654-0360-3","10.1109/ICCMC51019.2021.9418358","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9418358","COVID-19;COVID Cough;Cough Detection;Lung Disorders;Cough Sound Analysis;Machine Learning for audio analysis;Machine Learning for COVID-19 detection;Machine Learning for cough detection","COVID-19;Analytical models;Machine learning algorithms;Pandemics;Computational modeling;Machine learning;Medical services","diseases;feature extraction;learning (artificial intelligence);medical signal processing;patient diagnosis;pattern classification","global pandemic;technological intervention;COVID-19 patients;respective cough audio samples;machine learning classification models;15 dominant features;feature selecting algorithms;cough audios;COVID-19 cough classification models;comparative analysis","","","","20","IEEE","6 May 2021","","","IEEE","IEEE Conferences"
"Preliminary Diagnosis of COVID-19 Based on Cough Sounds Using Machine Learning Algorithms","A. Anupam; N. J. Mohan; S. Sahoo; S. Chakraborty","Deptt. of E&I, NIT Silchar; Deptt. of E&I, NIT Silchar; Deptt. of ECE, NIT Silchar; Deptt. of E&I, NIT Silchar","2021 5th International Conference on Intelligent Computing and Control Systems (ICICCS)","26 May 2021","2021","","","1391","1397","The proposed work is focused on COVID-19 classification of cough sounds based on machine learning which is used to differentiate COVID-19 coughs from non COVID-19 and healthy coughs. It follows a non-contact based screening test which is very easy to apply being non-invasive and simply carried out within the boundaries of home so that the medical testing centers are not over flooded with patients and there is an overwhelming pressure because of maintenance of those patients with shortage of adequate infrastructure facilities. The dataset used in this study has been derived from the Coswara database which comprises of around 160 infected and 480 healthy individuals. Therefore, Artificial Intelligence based machine learning classifiers were used as an alternative means of diagnosis. Logistic regression (LR), K- Nearest neighbor (KNN), support vector machines (SVM), decision tree algorithms were used as classifiers in the proposed work. The results of this study show that the SVM classifier turned out to be the best in comparing among the COVID-19 and non COVID- 19 coughs with area under receiver operating characteristic curve (ROC) of 0.98. The novelty in the proposed work includes the collection of dry cough samples which would aid in preliminary diagnosis of the infection. This form of classification can also be implemented in a smart phone after performance evaluation from medical authorities.","","978-1-6654-1272-8","10.1109/ICICCS51141.2021.9432324","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9432324","Cough sounds;COVID-19;Diagnosis;Classification;Machine learning","COVID-19;Support vector machines;Performance evaluation;Machine learning algorithms;Machine learning;Receivers;Medical diagnostic imaging","artificial intelligence;data mining;decision trees;diseases;image classification;learning (artificial intelligence);medical computing;patient diagnosis;pattern classification;regression analysis;support vector machines","dry cough samples;nonCOVID- 19 coughs;SVM classifier;decision tree algorithms;Artificial Intelligence based machine learning classifiers;480 healthy individuals;160 infected individuals;adequate infrastructure facilities;medical testing centers;noncontact based screening test;healthy coughs;nonCOVID-19;COVID-19 coughs;COVID-19 classification;machine learning algorithms;cough sounds;preliminary diagnosis","","10","","15","IEEE","26 May 2021","","","IEEE","IEEE Conferences"
"Novel COVID-19 Screening Using Cough Recordings of A Mobile Patient Monitoring System","X. Zhang; M. Pettinati; A. Jalali; K. S. Rajput; N. Selvaraj","Biofourmis Inc, Boston, MA, USA; Biofourmis Inc, Boston, MA, USA; Biofourmis Inc, Boston, MA, USA; Biofourmis Inc, Boston, MA, USA; Biofourmis Inc, Boston, MA, USA","2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","9 Dec 2021","2021","","","2353","2357","Since the COVID-19 pandemic began, research has shown promises in building COVID-19 screening tools using cough recordings as a convenient and inexpensive alternative to current testing techniques. In this paper, we present a novel and fully automated algorithm framework for cough extraction and COVID-19 detection using a combination of signal processing and machine learning techniques. It involves extracting cough episodes from audios of a diverse real-world noisy conditions and then screening for the COVID-19 infection based on the cough characteristics. The proposed algorithm was developed and evaluated using self-recorded cough audios collected from COVID-19 patients monitored by Biovitals® Sentinel remote patient management platform and publicly available datasets of various sound recordings. The proposed algorithm achieves a duration Area Under Receiver Operating Characteristic curve (AUROC) of 98.6% in the cough extraction task and a mean cross-validation AUROC of 98.1% in the COVID-19 classification task. These results demonstrate high accuracy and robustness of the proposed algorithm as a fast and easily accessible COVID-19 screening tool and its potential to be used for other cough analysis applications.","2694-0604","978-1-7281-1179-7","10.1109/EMBC46164.2021.9630722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9630722","Machine learning;Signal processing;Audio Analysis;COVID-19 screening;Convolutional neural network (CNN)","COVID-19;Machine learning algorithms;Signal processing algorithms;Tools;Predictive models;Feature extraction;Data models","diseases;feature extraction;health care;learning (artificial intelligence);medical signal detection;medical signal processing;patient monitoring;signal classification","fast COVID-19 screening tool;cough analysis applications;novel COVID-19 screening;cough recordings;mobile patient monitoring system;COVID-19 pandemic;COVID-19 screening tools;current testing techniques;fully automated algorithm framework;COVID-19 detection;signal processing;machine learning techniques;extracting cough episodes;COVID-19 infection;cough characteristics;self-recorded cough audios;COVID-19 patients;sound recordings;receiver operating characteristic curve;cough extraction task;COVID-19 classification task;sentinel remote patient management platform;accessible COVID-19 screening tool","COVID-19;Cough;Humans;Monitoring, Physiologic;Pandemics;Research Design;SARS-CoV-2;Sound Recordings","2","","20","IEEE","9 Dec 2021","","","IEEE","IEEE Conferences"
"Analysis of cough sound measurements including COVID-19 positive cases: A machine learning characterization","J. J. Valdés; P. Xi; M. Cohen-McFarlane; B. Wallace; R. Goubran; F. Knoefel","Digital Technologies National Research Council Canada, Ottawa, Canada; Digital Technologies National Research Council Canada, Ottawa, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Bruyère Research Institute SAM3 Innovation Hub, Carleton University, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Bruyère Research Institute Elizabeth Bruyère Hospital, Carleton University, Ottawa, Canada","2021 IEEE International Symposium on Medical Measurements and Applications (MeMeA)","12 Jul 2021","2021","","","1","6","Remote monitoring and measurement are valuable tools for medical applications and they are particularly important in the context of pandemic outbreaks, like the current COVID-19. This paper presents an analysis of sound measurements of cough events from the point of view of their predictive content with respect to identification of different types of cough, including positive COVID-19 cases. The data consisted of a collection of audio samples collected from different sources including dry, wet, whooping and COVID-19 coughs. Unsupervised and supervised machine learning techniques were used to reveal the underlying structure of the data, described by dissimilarity spaces constructed from pair-wise dynamic time warping measures derived from the original sound measurements. Intrinsic dimensionality, nonlinear mappings to low-dimensional spaces and visual cluster assessment techniques allowed a representation of the cough types distribution. Supervised classification techniques were used to obtain models identifying cough classes and high performance classifiers were obtained for most of them, including COVID-19. These results are preliminary and there is potential to improve, as they were obtained directly from a small dataset, without signal preprocessing (trimming, filtering, etc.), hyperparameter tuning, ensemble models, and class imbalance handling approaches.","","978-1-6654-1914-7","10.1109/MeMeA52024.2021.9478714","National Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9478714","cough events;sound measurements;dynamic time warping;dissimilarity spaces;machine learning;COVID-19","COVID-19;Training;Visualization;Filtering;Current measurement;Machine learning;Tools","bioacoustics;diseases;learning (artificial intelligence);medical signal processing;patient diagnosis;pattern classification;pattern clustering","cough sound measurements;COVID-19 positive cases;machine learning characterization;valuable tools;medical applications;pandemic outbreaks;current COVID-19;cough events;predictive content;positive COVID-19 cases;audio samples;COVID-19 coughs;supervised machine learning techniques;dissimilarity spaces;pair-wise dynamic time;original sound measurements;intrinsic dimensionality;low-dimensional spaces;visual cluster assessment techniques;cough types distribution;supervised classification techniques;cough classes","","3","","35","Crown","12 Jul 2021","","","IEEE","IEEE Conferences"
"Express Diagnosis of COVID-19 on Cough Audiograms with Machine Learning Algorithms from Scikit-learn library and GMDH Shell tool","B. Shkanov; A. Zolotova; M. Alexandrov; O. Koshulko","Russian Presidential Academy of National Economy and Public Administration, Moscow, Russia; Moscow Institute of Physics and Technology, Moscow, Russia; Autonomous University of Barcelona, Barcelona, Spain; Institute of Cybernetics of the NAS of Ukraine, Kyiv, Ukraine","2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT)","27 Dec 2021","2021","1","","410","414","The ongoing COVID-19 pandemic and necessity of mass control of population makes to create inexpensive rapid diagnostic methods that could replace or complement existing methods based on clinical studies. In response to this challenge, at the end of 2020 MIT scientists proposed a way to detect COVID-19 sick patients using audio recordings of their cough. They build a binary classifier based on a trained deep neural network that provides 99% precision in detecting sick patients on a dataset of 5000 people (the precision of detecting the healthy ones is not reported). In our study, we propose another technology, which uses: (a) a simple transformation of digital audiograms being matrices ‘fequency-time'and (b) typical machine learning algorithms from the popular scikit-learn Python library and the platform GMDH Shell. Objects of consideration are: a large unbalanced dataset (282 sick and 1595 healthy) and a small balanced dataset (174 sick and 193 healthy). In total GMDH-based algorithms demonstrated some better results with both datasets. The winners provides the following precisions of detecting sick/healthy patients [%]: (a) 92/95 on the small dataset and 78/95 on the large data set for the algorithm SVM with a Gaussian kernel; (b) 95/97 on the small dataset and 82/96 on the large data set for the algorithm Random Forest based on GMDH. We suppose these results are promising.","2766-3639","978-1-6654-4257-2","10.1109/CSIT52700.2021.9648828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648828","audiograms of cough;COVID diagnostics;principal components;machine learning;GMDH Shell;scikit-learn","COVID-19;Support vector machines;Machine learning algorithms;Pandemics;Sociology;Libraries;Statistics","learning (artificial intelligence);medical diagnostic computing;neural nets;patient diagnosis;pattern classification;random forests;regression analysis;support vector machines","express diagnosis;cough audiograms;machine learning algorithms;Scikit-learn library;COVID-19 pandemic;inexpensive rapid diagnostic methods;clinical studies;COVID-19 sick patients;audio recordings;binary classifier;trained deep neural network;simple transformation;digital audiograms;matrices fequency;typical machine;Scikit-learn Python library;platform GMDH Shell;unbalanced dataset;balanced dataset;total GMDH-based algorithms;SVM;random forest;Gaussian kernel","","1","","12","IEEE","27 Dec 2021","","","IEEE","IEEE Conferences"
"Classification Model for Covid-19 Detection Through Recording of Cough Using XGboost Classifier Algorithm","M. E. Irawati; H. Zakaria","Department of Biomedical Engineering, Institut Teknologi Bandung, Bandung, Indonesia; Department of Biomedical Engineering, Institut Teknologi Bandung, Bandung, Indonesia","2021 International Symposium on Electronics and Smart Devices (ISESD)","12 Aug 2021","2021","","","1","5","Covid-19 is a worldwide outbreak of respiratory syndrome. To date, 178 million people have been exposed to Covid-19 since it was declared a global pandemic at the end of March 2020. Early detection of viral infections is critical in dealing with the outbreak's rapid spread. In this study, a machine learning model was developed that could classify Covid-19 based on cough sounds recorded. The MFCC feature extraction method is used to extract cough sound features from each cough recording, and these features are then used as learning input for machines to label using the XGBoost Classifier algorithm. With evaluation using cross validation method, the classification model's accuracy has reached 86.2%, allowing the model to be developed into a Covid-19 pre-screening tool that can reach a larger community.","","978-1-6654-4146-9","10.1109/ISESD53023.2021.9501695","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9501695","Covid-19;screening;cough;MFCC;XGBoost Classifier","COVID-19;Machine learning algorithms;Pandemics;Tools;Feature extraction;Classification algorithms;Mel frequency cepstral coefficient","bioacoustics;diseases;feature extraction;learning (artificial intelligence);medical signal detection;patient diagnosis;pattern classification","178 million people;global pandemic;March 2020;viral infections;machine learning model;cough sounds;MFCC feature extraction method;cough sound features;cough recording;XGBoost Classifier algorithm;classification model;Covid-19 pre-screening tool;Covid-19 detection;XGboost Classifier algorithm;worldwide outbreak;respiratory syndrome","","","","12","IEEE","12 Aug 2021","","","IEEE","IEEE Conferences"
"Early Detection of COVID-19 Patients using Chromagram Features of Cough Sound Recordings with Machine Learning Algorithms","R. Islam; E. Abdel-Raheem; M. Tarique","Dept. of Elect. & Comp. Engg., University of Windsor, Windsor, Canada; Dept. of Elect. & Comp. Engg., University of Windsor, Windsor, Canada; Department of Elect. Engg., Univ. of Sci. and Tech. of Fujairah, Fujairah, United Arab Emirates","2021 International Conference on Microelectronics (ICM)","7 Jan 2022","2021","","","82","85","This paper presents a cough sound-based fast, automated, and noninvasive COVID-19 detection system to discriminate the cough sounds of the COVID-19 patients from the healthy individuals. The proposed system extracts an acoustic feature called chromagram from the cough sound samples and applies it to the input of a classifier algorithm. Two artificial neural network (ANN) based classifiers namely convolutional neural network (CNN) and deep neural network (DNN) are modeled for this purpose. The simulation results show that the proposed system achieves an accuracy of 92.9% and 91.7% with CNN and DNN respectively. The performance comparison of the proposed system with two popular machine learning algorithms namely support vector machine (SVM) and k-nearest neighbor (kNN) are also presented in this work.","","978-1-6654-0839-4","10.1109/ICM52667.2021.9664931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9664931","classifier;cough sound;COVID-19;deep learning;pathology;speech","COVID-19;Support vector machines;Deep learning;Machine learning algorithms;Simulation;Feature extraction;Acoustics","acoustic signal processing;convolutional neural nets;deep learning (artificial intelligence);feature extraction;medical signal processing;nearest neighbour methods;patient diagnosis;pattern classification;support vector machines","COVID-19 patients;chromagram features;cough sound recordings;noninvasive COVID-19 detection system;healthy individuals;acoustic feature;cough sound samples;classifier algorithm;artificial neural network based classifiers;convolutional neural network;deep neural network;popular machine learning algorithms;CNN;DNN;support vector machine;SVM;k-nearest neighbor;kNN","","2","","19","IEEE","7 Jan 2022","","","IEEE","IEEE Conferences"
"Diagnosis of Covid-19 by Sound Analysis","Ö. Cebecı; M. B. Kartal; A. Memişoğlu; A. K. Hocaoğlu","Elektronik Mühendisliği Bölümü, Gebze Teknik Üniversitesi, Türkiye; Elektronik Mühendisliği Bölümü, Gebze Teknik Üniversitesi, Türkiye; Elektronik Mühendisliği Bölümü, Gebze Teknik Üniversitesi, Türkiye; Elektronik Mühendisliği Bölümü, Gebze Teknik Üniversitesi, Türkiye","2022 30th Signal Processing and Communications Applications Conference (SIU)","29 Aug 2022","2022","","","1","4","COVID-19 virus; has dragged the world into an epidemic that has infected more than 413 million people and caused the death of nearly 6 million people. Although biomedical tests provide the diagnosis of COVID-19 with high accuracy in the diagnosis of the disease, it increases the risk of infection due to the fact that it is a method that requires contact. Machine learning models have been proposed as an alternative to biomedical testing. Cough has been identified by the World Health Organization as one of the symptoms of COVID-19 disease. In this study, the success performance of the positive case situation with machine learning was examined using the COUGHVID dataset with cough voice recordings. In order to increase the performance of the model, MFCC, Δ-MFCC and Mel Coefficients attributes were obtained after preprocessing the sound recordings. In the ensemble learning model, features were used as independent variables and a value of 0.65 AUC-ROC was reached. In addition to these performance-enhancing changes, since the acoustic properties of male and female cough sounds are different, the training of persons was carried out separately from each other, and AUC-ROC values of 0.70 for females and 0.68 for males were obtained. Trimming the silent regions at the beginning and end of the recordings, using the ensemble learning model, and grouping based on gender provided better results for this study compared to previous studies.","2165-0608","978-1-6654-5092-8","10.1109/SIU55565.2022.9864869","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9864869","COVID-19;Cough Sound;Ensemble Learning;MFCC;Mel;Trimming;AUC-ROC;Data Grouping;Data Balancing","COVID-19;Training;Epidemics;Biological system modeling;Machine learning;Organizations;Recording","bioacoustics;diseases;learning (artificial intelligence);medical computing;patient diagnosis;pattern classification;sampling methods","COVID-19 virus;biomedical tests;machine learning models;biomedical testing;World Health Organization;COVID-19 disease;cough voice recordings;sound recordings;ensemble learning model;AUC-ROC;female cough sounds","","","","0","IEEE","29 Aug 2022","","","IEEE","IEEE Conferences"
"Performance Analysis of Machine Learning Algorithms in Detection of COVID-19 from Common Symptoms","H. Arslan; B. Aygün","Department of Software Engineering, Ankara Yıldırım Beyazıt University, Ankara, Turkey; Department of Management Information Systems, İzmir Democracy University, İzmir, Turkey","2021 29th Signal Processing and Communications Applications Conference (SIU)","19 Jul 2021","2021","","","1","4","COVID-19 disease caused by the SARS-CoV-2 virus has spread rapidly around the world and turned into a global epidemic. Machine learning methods, a powerful tool against COVID-19, are effectively used to combat this epidemic. In this study, six machine learning algorithms, which are Artificial Neural Network, Naive Bayes, Support Vector Machine, k-Nearest Neighbor, Random Forest and AdaBoost methods, are compared and evaluated for classifying COVID-19 cases on the data including the main symptoms of 10.000 people, which are fever, cough, sore throat, shortness of breath, headache as well as gender, age and contact data with the infected person. Experimental results conduct that artificial neural network achieves the best accuracy of %87. On the other hand, the other machine learning methods reach an accuracy of 84% on average for detecting COVID-19 cases from common symptoms.","2165-0608","978-1-6654-3649-6","10.1109/SIU53274.2021.9477809","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9477809","SARS-CoV-2;COVID-19;coronavirus;artificial neural network;machine learning","COVID-19;Support vector machines;Neural networks;Genomics;Boosting;Bioinformatics;Coronaviruses","diseases;learning (artificial intelligence);medical computing;microorganisms;neural nets;pattern classification;support vector machines","performance analysis;Machine learning algorithms;common symptoms;COVID-19 disease;SARS-CoV-2 virus;global epidemic;Machine learning methods;artificial neural network;Support Vector Machine;classifying COVID-19 cases;main symptoms;sore throat;contact data","","1","","","IEEE","19 Jul 2021","","","IEEE","IEEE Conferences"
"COVID-19 Disease Classification by Cough Records Analysis using Machine Learning","K. Trang; H. A. Nguyen; L. TonThat; H. N. Do; B. Q. Vuong","School of Electrical Engineering International University Vietnam National University, Ho Chi Minh City, Vietnam; School of Electrical Engineering International University Vietnam National University, Ho Chi Minh City, Vietnam; School of Electrical Engineering International University Vietnam National University, Ho Chi Minh City, Vietnam; School of Electrical Engineering International University Vietnam National University, Ho Chi Minh City, Vietnam; School of Electrical Engineering International University Vietnam National University, Ho Chi Minh City, Vietnam","2022 IEEE International Conference on Cybernetics and Computational Intelligence (CyberneticsCom)","29 Aug 2022","2022","","","457","462","The rapid spreading rate of the Coronavirus disease 2019 (COVID-19) has resulted in more than 6.2 million deceased cases. Furthermore, the patients of the latest Omicron variation carry light to almost no symptoms of the disease themselves. Thus, the requirement for a new diagnosis method besides Reverse Transcription-Polymerase Chain Reaction (RT-PCR) becomes the most important step to successfully detect infected cases. In this research, the application of the KNN, Ensemble and SincNet models are implemented as the main models for classification diagnosis based on cough sound records of infected patients. After pre-processing steps for removing silence ranges in the audio scripts, the cough sounds are augmented, subsequently separated into single cough samples, then generated 3 testing scenarios for dealing with the imbalanced problem between the sample classes. Afterward, MelFrequency information and MelSprectrogram are extracted as main features for analysis in order to distinguish patients with COVID-19 disease and healthy cases. The AICV115M dataset consisting of two classes COVID-19 and NonCOVID-19 is implemented for performance evaluation. The recorded highest accuracy on the models KNN, Ensemble and SincNet are 92.49%, 90.1% and 85.15%, respectively.","","978-1-6654-9742-8","10.1109/CyberneticsCom55287.2022.9865610","International University, VNU-HCM(grant numbers:T2021-04-EE); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9865610","COVID-19;cough records;MelFrequency;Machine Learning","COVID-19;Performance evaluation;Machine learning;Feature extraction;Data mining;Task analysis;Mel frequency cepstral coefficient","diseases;epidemics;feature extraction;genetics;learning (artificial intelligence);medical diagnostic computing;medical signal processing;microorganisms;molecular biophysics;neural nets;patient diagnosis;pattern classification;pneumodynamics","COVID-19 disease classification;cough records analysis;machine learning;rapid spreading rate;Coronavirus disease 2019;classification diagnosis;cough sound records;infected patients;cough sounds;single cough samples;Omicron variation;KNN;Ensemble model;SincNet model;MelFrequency information;MelSprectrogram;AICV115M dataset","","","","23","IEEE","29 Aug 2022","","","IEEE","IEEE Conferences"
